jobTitle,companyName,salary_cleaned,pubDate,region,category,seniority
Software Architect,LanguageWire,4407.733333333334,2025-04-19 04:51:01,Europe,Other,Other
Senior Cloud Engineer,Click Therapeutics,95.0,2025-04-19 00:50:36,North America,Engineering,Senior
Back End Software Engineer,Aura,132500.0,2025-04-18 12:50:58,North America,Engineering,Other
Senior Python Engineer,Primer.ai,195000.0,2025-04-18 04:50:16,North America,Engineering,Senior
Senior Data Scientist,CUJU,72.78333333333333,2025-04-17 22:50:56,Europe,Data,Senior
"Software Engineer III, Full Stack",Shippo,169830.0,2025-04-17 18:51:12,North America,Engineering,Other
Tech Lead / Staff Engineer,360dialog GmbH,67.73333333333333,2025-04-17 10:51:15,Europe,Engineering,Lead
Senior Product Software Engineer,Hive.co,89450.15,2025-04-15 06:50:58,North America,Engineering,Senior
Senior Data Engineer,LeanTaaS,169830.0,2025-04-14 18:50:48,North America,Data,Senior
Senior iOS Engineer,Fay,171230.0,2025-04-13 18:50:13,North America,Engineering,Senior
Staff Software Architect,Shipwell,165000.0,2025-04-11 22:50:05,North America,Other,Other
Senior Machine Learning Engineer,Haus,169830.0,2025-04-11 22:50:04,North America,Data,Senior
Senior Go Software Engineer,Synthflow,51290.08333333333,2025-04-11 06:51:04,Other,Engineering,Senior
Backend Software Engineer,Descript,200000.0,2025-04-10 20:50:46,North America,Engineering,Other
Senior C++ Engineer,Eyeo,67.73333333333333,2025-04-10 06:50:45,Europe,Engineering,Senior
Senior Software Engineer,Mozilla,121500.0,2025-04-09 20:50:05,North America,Engineering,Senior
Data Scientist,Bombora,78750.0,2025-04-09 18:50:56,North America,Data,Other
Sr. Software Engineer,Crogl,169830.0,2025-04-09 18:50:54,North America,Engineering,Senior
"Lead Applied Scientist, Computer Vision",SafelyYou,89450.15,2025-04-08 16:51:09,North America,Other,Lead
Financial Data Engineer,Automattic Careers,120000.0,2025-04-08 02:51:08,Other,Data,Other
Data Science Manager,Lime,114350.83333333331,2025-04-08 02:51:07,Remote,Data,Other
Lead Fullstack Software Engineer,"Nada, Inc.",150000.0,2025-04-07 14:50:56,North America,Engineering,Lead
Machine Learning Engineer,Artera,169830.0,2025-04-06 00:51:05,North America,Data,Other
Senior Software Engineer,Zencore,15314.9,2025-04-04 20:51:04,Europe,Engineering,Senior
Data Scientist - Machine Learning,Blue Rose Research,150000.0,2025-04-02 16:50:42,North America,Data,Other
Senior Engineering Manager,Airbnb,282000.0,2025-04-01 14:50:53,North America,Management,Senior
Lead Machine Learning Scientist,OneSix - External,114350.83333333331,2025-04-01 14:50:52,Remote,Data,Lead
Senior Data Scientist,Included Health,228905.0,2025-04-01 14:50:49,North America,Data,Senior
Senior Software Engineer,Bswift LLC,122500.0,2025-03-31 14:50:44,North America,Engineering,Senior
Solution Engineer,Domino Data Lab,170000.0,2025-03-31 14:50:41,North America,Engineering,Other
Senior Data Scientist,Tali AI,89450.15,2025-03-30 12:50:12,North America,Data,Senior
Senior Software Engineer,21bitcoin,80.0,2025-03-29 16:51:11,Europe,Engineering,Senior
Technical Chief of Staff,Wyndlabs,135.0,2025-03-28 02:50:55,North America,Management,Other
Infrastructure Software Engineer,Dropbox,215200.0,2025-03-26 06:50:05,North America,Engineering,Other
Senior Backend Engineer,DoiT,66.4,2025-03-25 16:50:21,Europe,Engineering,Senior
Senior Backend Software Developer,Varicent,67.73333333333333,2025-03-25 10:51:10,Latam,Engineering,Senior
